lat,lng,val
35.12,-93.65,342.960789675
35.04,-93.39,430.502633218
35.23,-93.17,67.9501184358
34.88,-93.68,800.078697957
33.85,-109.15,300.692031972
36.15,-109.54,506.158193855
35.07,-109.77,656.509940549
34.13,-109.28,15.2595767335
33.97,-109.56,249.792342606
36.92,-109.09,776.31831077
31.46,-109.61,287.349934696
31.94,-109.22,699.253175958
31.88,-109.21,392.205119918
35.23,-111.82,712.31267459
34.61,-111.19,936.448375643
36.21,-112.06,727.833554461
35.16,-111.73,333.732207225
35.14,-111.67,165.397447412
35.04,-111.02,823.065664046
34.96,-111.76,485.136905244
36.14,-112.10,842.565621462
35.37,-111.54,461.06211671
35.17,-111.51,372.629574956
35.24,-112.19,794.373895816
35.52,-111.37,760.445442122
33.39,-110.79,914.911323018
34.32,-111.45,723.16611545
34.23,-111.34,144.56653286
33.48,-109.75,739.101426421
32.81,-109.68,486.641429184
33.61,-114.47,219.146942853
33.43,-112.00,330.708207351
33.73,-111.86,87.6547795991
33.43,-111.92,226.312463314
33.98,-112.74,88.2273093577
33.59,-112.30,338.507819032
36.90,-113.94,125.394398538
35.14,-114.57,716.195086652
35.29,-113.37,252.599191363
35.26,-113.93,186.369504595
34.50,-114.36,411.04096954
36.02,-114.07,58.6257727843
36.86,-112.74,910.569246668
34.71,-113.61,205.406750537
34.88,-114.13,438.263442237
36.68,-110.54,304.36781695
34.39,-110.56,137.362383391
34.11,-109.86,903.599046666
34.80,-109.88,460.529541507
34.12,-109.92,929.442099632
34.26,-110.01,397.314333774
34.51,-110.08,338.340743946
35.03,-110.72,407.234095069
31.96,-111.60,139.308901405
32.13,-110.96,96.4147195448
32.73,-111.69,837.692232592
34.60,-113.17,982.267423917
33.98,-112.36,802.170286505
34.76,-112.46,799.644769416
34.75,-112.11,266.354048719
34.57,-112.43,731.267149762
34.65,-112.43,987.175625667
35.33,-112.88,514.044753739
34.77,-112.03,673.562614106
32.72,-113.92,998.924692604
32.65,-114.62,516.768003238
37.65,-122.11,990.382586238
37.69,-121.81,814.922440192
37.73,-122.20,750.708935928
38.38,-120.80,562.055976564
39.52,-121.55,109.418732089
39.75,-121.62,508.793085191
38.28,-120.31,190.808190775
37.99,-122.06,558.117233786
41.78,-124.23,117.355006124
38.90,-119.99,308.567613132
36.78,-119.72,963.207307571
39.52,-122.31,311.331139217
40.81,-124.16,521.222801557
32.77,-115.56,23.6648403647
32.83,-115.57,658.436308595
37.37,-118.36,892.211942054
36.46,-116.87,961.912793782
35.43,-119.05,255.466343902
35.05,-118.16,835.76075718
39.97,-120.08,483.303025346
40.42,-120.66,465.114431742
34.19,-118.35,113.046320273
34.74,-118.21,378.001554978
33.81,-118.15,359.099889071
34.02,-118.29,739.177671891
33.94,-118.39,339.800055927
34.63,-118.08,344.580455242
34.50,-117.89,160.562734589
34.74,-118.72,322.746369965
34.07,-118.44,978.28154944
39.13,-123.20,630.848470803
41.19,-120.94,682.945315073
41.53,-120.18,621.660799291
38.21,-119.01,13.3094891599
38.26,-119.23,336.986775445
37.96,-119.12,913.127933599
37.65,-118.96,184.204140298
36.58,-121.85,23.4556808258
36.66,-121.61,253.15880305
38.49,-122.12,521.953174421
38.21,-122.28,678.00607799
39.39,-120.09,830.231862582
39.20,-121.07,797.810590195
39.25,-121.00,223.438068406
39.17,-120.14,973.251523425
40.17,-121.09,714.037586568
40.30,-121.24,781.665700266
39.81,-120.47,772.361967348
39.94,-120.95,342.143929785
33.61,-114.60,680.016234683
33.62,-114.71,828.536138358
33.81,-115.45,644.771759959
33.70,-115.63,777.614663601
33.74,-116.89,750.454958752
33.76,-116.71,36.8407394813
33.63,-116.16,667.779895092
38.51,-121.49,991.63070484
34.56,-115.74,672.991901459
34.89,-117.02,709.266024044
34.24,-116.90,686.546021188
34.85,-116.79,360.21233562
34.15,-115.12,447.232962412
34.36,-116.54,262.263531376
34.15,-116.27,267.102730879
34.09,-116.56,536.949749004
34.77,-114.62,452.731264631
35.76,-117.39,647.617670818
34.12,-115.85,666.252279025
32.84,-116.78,59.7914095399
33.23,-116.41,915.476395118
32.62,-116.47,675.193664505
33.08,-116.59,827.239529632
33.38,-116.84,421.983439789
32.73,-117.18,409.709146016
37.89,-121.23,646.714547875
35.67,-120.63,704.521325534
37.62,-122.36,840.517954611
34.43,-119.84,917.098518649
34.90,-120.45,10.4486623992
37.36,-121.92,638.042958956
40.93,-121.54,987.998525814
40.54,-121.58,873.604442858
40.52,-122.30,409.548155727
40.71,-122.42,335.213109363
40.61,-122.53,561.727088864
39.58,-120.37,529.446288133
41.98,-122.34,117.586447925
41.60,-122.85,725.613312174
41.84,-122.85,454.047213834
41.70,-122.64,982.889041053
38.49,-122.00,551.897647088
38.38,-121.96,633.450456634
38.50,-122.81,839.55952904
37.62,-120.95,496.83331898
40.35,-121.61,1.93743319282
40.15,-122.25,781.327317186
36.74,-118.96,104.8605465
36.60,-118.73,901.816541664
36.33,-119.30,880.839476445
37.84,-120.23,733.394553479
38.00,-120.49,309.727218141
38.53,-121.78,758.074893869
39.33,-121.19,774.97607105
39.10,-121.57,418.684709914
39.94,-104.84,932.542295227
39.74,-104.13,343.308343318
39.90,-105.01,120.990460204
37.44,-105.86,963.815820512
37.44,-105.86,893.438734785
37.73,-105.51,806.715549349
37.43,-106.03,560.006821411
37.31,-107.12,212.224125514
37.38,-102.30,46.81876217
38.06,-102.93,191.695113543
38.06,-103.22,734.979207137
39.99,-105.27,249.800455683
39.94,-105.35,21.2945935284
38.82,-106.13,994.628747712
38.53,-106.02,864.865020837
38.77,-102.80,104.004201443
38.89,-102.72,758.986242106
38.90,-103.02,485.156828813
39.66,-105.71,542.525190741
39.71,-105.70,320.673892286
37.17,-105.94,28.8475730301
38.75,-108.03,515.238691827
38.85,-107.62,717.533287865
39.73,-104.98,205.65599058
39.83,-104.66,84.7325231356
39.75,-104.94,123.518534062
39.73,-105.01,195.210403211
39.76,-104.87,501.876786044
39.62,-105.07,710.893626396
37.81,-109.01,56.9470099339
39.41,-104.91,908.866670472
39.43,-105.07,381.615674825
39.43,-105.12,221.923280575
39.03,-104.80,767.391399347
38.81,-104.69,699.373446586
38.83,-104.76,60.4162593599
38.93,-104.87,639.646691755
38.96,-104.78,58.7849007993
38.93,-104.75,498.729079748
39.11,-104.60,545.593498053
38.74,-104.40,937.032809676
39.06,-104.87,305.850231459
38.84,-104.97,12.7920633476
39.00,-103.74,354.077607854
38.46,-105.23,509.372932988
38.69,-105.39,291.146733514
39.50,-108.38,594.943684542
39.56,-107.73,962.179558823
39.57,-107.23,149.333255336
39.94,-105.82,564.02294365
40.27,-105.83,259.381335611
40.06,-106.37,757.576218975
40.04,-106.20,962.448032754
39.87,-105.76,138.88077508
38.45,-106.76,225.80017995
38.87,-106.98,406.81730447
38.53,-106.97,375.656935457
38.82,-106.61,4.02164410977
37.63,-104.80,784.910007735
40.51,-106.01,302.314235827
40.74,-106.28,581.74469359
39.22,-105.28,137.401655578
39.90,-105.38,157.528992244
39.64,-105.32,499.94906542
39.72,-105.25,960.46068334
39.57,-105.22,987.533645423
39.49,-105.10,541.439995295
39.75,-105.12,173.731798493
39.83,-105.24,113.720171856
39.78,-105.12,646.780159918
38.48,-102.78,660.204769007
38.45,-103.16,632.397523882
38.47,-102.22,488.068100765
39.31,-102.26,664.328620584
37.29,-107.86,996.730763159
37.23,-108.05,30.1456045067
37.09,-107.53,462.602966479
37.38,-107.58,135.521112009
39.37,-106.19,579.738449892
39.22,-106.32,858.691107397
39.25,-106.37,960.62712206
39.09,-106.35,734.783006306
40.37,-105.51,293.191457583
40.37,-105.24,494.952534555
40.61,-105.13,945.761451782
40.58,-105.02,395.584485234
40.97,-106.00,558.765179422
40.44,-105.08,324.751510141
40.70,-105.71,695.69504944
40.97,-105.22,470.104773621
40.43,-105.21,941.597660831
37.32,-104.95,81.6186876228
37.11,-103.30,611.786542845
37.45,-103.32,882.808868545
37.18,-104.49,947.455281011
37.26,-104.34,997.196150352
37.15,-104.56,73.7726035971
39.28,-103.50,822.131636711
39.14,-103.49,42.1699207649
38.74,-103.54,44.6780873903
38.53,-103.71,51.4983304877
40.86,-102.80,377.485638462
40.65,-102.86,362.479352935
40.49,-103.08,896.354710054
39.24,-107.98,888.24789812
39.10,-108.73,685.126389604
38.68,-108.97,202.594593328
38.95,-109.05,251.623796149
39.04,-108.47,243.743327532
39.13,-108.54,769.368174876
39.11,-108.35,777.488984675
37.83,-106.93,243.620238175
37.77,-107.11,195.032869169
37.82,-107.11,932.766912788
40.45,-107.59,441.566662362
40.24,-108.97,996.624124818
40.25,-108.64,74.9628864558
37.34,-108.59,534.64186546
37.20,-108.49,55.9862954199
38.55,-107.69,795.489715132
38.49,-107.88,546.492337971
38.39,-108.95,845.319103574
40.08,-103.57,167.921481261
38.11,-103.51,568.134348378
38.12,-104.01,786.682991887
37.98,-103.54,995.238695008
37.75,-103.48,427.719694085
38.05,-103.51,743.516757833
38.04,-103.69,467.077891554
38.03,-107.67,923.207531967
38.15,-107.76,189.063213525
38.99,-105.89,552.200323195
39.40,-105.48,456.359999093
39.22,-105.99,911.814844637
39.46,-105.68,392.251881161
38.91,-105.47,276.360333166
40.55,-102.34,618.129655498
38.05,-102.12,577.210490361
38.09,-102.63,976.085918607
38.05,-105.00,916.18528591
38.37,-104.31,564.745770085
38.29,-104.50,479.521153486
38.26,-104.72,547.137509299
37.91,-104.95,121.717358276
38.34,-104.06,112.884206929
40.04,-107.91,914.717530626
40.09,-108.77,814.330499018
37.71,-106.14,992.378674689
37.67,-106.32,286.513931014
37.58,-106.19,169.886011178
40.49,-107.25,775.203555959
40.49,-106.82,121.278667915
40.16,-106.91,211.565055751
37.98,-105.69,664.821488147
37.81,-107.66,204.887801381
40.99,-102.27,359.047673077
40.86,-102.52,556.979425375
39.49,-106.04,889.577674673
39.63,-106.04,195.87730755
39.88,-106.33,460.900189412
40.16,-103.14,426.933557517
39.76,-103.50,982.525168346
39.57,-103.29,675.175894114
40.21,-102.81,520.369692287
40.40,-104.70,323.158056239
40.93,-103.87,226.477223294
39.70,-102.29,884.197767057
39.66,-102.68,418.794402686
39.95,-102.24,378.500979536
40.12,-102.72,942.083137054
41.16,-73.13,810.995304423
41.12,-73.08,191.860207287
41.79,-72.93,276.230860959
41.94,-72.68,561.388579266
41.84,-73.01,69.3956429358
41.92,-72.96,764.524404158
41.97,-73.22,223.12422363
41.53,-72.06,695.732549422
42.00,-72.26,758.041203426
41.79,-72.23,831.535697932
41.77,-72.05,789.028976476
41.94,-71.90,232.091506026
39.26,-75.52,976.133037655
39.67,-75.60,10.0183933959
29.69,-82.28,856.07652762
28.10,-80.64,550.961563753
26.07,-80.15,704.724959091
26.92,-82.00,932.533637055
26.15,-81.78,532.214395386
29.63,-83.10,581.817648793
30.34,-81.51,849.202531551
30.50,-81.69,193.01672952
30.48,-87.19,704.273328769
29.73,-85.02,975.322661747
30.55,-84.58,206.068744574
27.18,-81.35,154.836666679
27.96,-82.54,791.579953686
27.65,-80.24,718.740383245
30.83,-85.18,814.154723373
26.59,-81.86,732.133292716
30.40,-84.36,187.269340721
30.39,-84.35,659.073852265
29.48,-81.97,330.81972223
25.79,-80.32,659.597415281
24.55,-81.75,504.721278889
30.67,-81.45,829.417672141
28.43,-81.32,64.4894332188
28.55,-81.33,477.519115829
26.68,-80.10,657.851742191
27.76,-82.63,532.224043353
28.02,-81.92,57.4517624597
29.77,-81.47,84.0390380415
29.18,-81.05,970.650844501
31.54,-82.51,218.177901018
32.68,-83.65,409.465972578
31.27,-81.92,995.071995567
33.60,-85.08,844.456936224
32.13,-81.21,812.335234751
33.95,-83.33,824.324352016
33.97,-83.29,231.389467552
31.08,-82.80,209.127761954
31.70,-82.92,355.297991657
31.53,-84.18,709.574351169
34.75,-84.15,182.431783132
33.36,-84.57,594.518114329
34.35,-85.17,134.255536865
33.63,-84.44,266.239942011
31.15,-81.39,45.1652506539
34.34,-82.83,213.792982231
32.71,-82.54,989.759381616
32.56,-82.90,779.861234331
30.78,-83.28,571.815619715
34.53,-83.99,139.204316439
34.12,-83.30,503.32361695
31.40,-81.28,732.917701606
31.19,-84.20,902.936766756
33.11,-83.79,922.942595869
32.52,-84.94,270.558245678
32.52,-84.94,658.874309539
33.87,-83.11,172.674341782
33.99,-84.75,236.813208882
34.48,-84.45,710.749500848
34.86,-83.41,320.951013168
34.90,-83.41,76.0434479062
31.77,-84.79,137.766653088
33.36,-81.96,535.908913313
31.08,-82.57,856.71232163
34.66,-83.73,600.771557113
33.73,-82.71,597.230366736
19.72,-155.05,987.772912968
21.32,-157.93,389.388696254
21.98,-159.34,788.012471848
20.90,-156.43,599.929483883
21.15,-157.10,574.415828954
40.99,-94.75,941.836268149
40.74,-92.87,201.856527635
40.83,-92.89,920.776502431
41.71,-94.92,454.15999557
41.88,-92.28,806.293956391
42.17,-92.01,19.9655049626
42.55,-92.40,331.441938028
42.02,-93.77,602.37481944
42.04,-93.89,815.13838096
42.81,-92.26,60.310187701
42.63,-91.86,919.800051958
42.89,-95.07,18.907882132
42.63,-95.17,356.56403089
42.75,-92.80,271.55796716
42.58,-92.81,763.911860358
42.40,-94.63,712.326669961
42.06,-94.85,922.635732982
41.42,-95.00,16.2064516005
41.86,-90.93,558.391321026
43.16,-93.20,117.032996701
43.15,-93.20,286.513319257
43.15,-93.33,9.73777067763
42.76,-95.54,556.265508189
42.58,-95.72,172.397843597
43.03,-92.50,80.2767722281
43.05,-92.31,570.619906178
41.02,-93.75,117.141948038
43.18,-95.38,140.193921684
42.92,-95.34,717.745126411
43.17,-95.15,275.261957627
42.78,-91.45,603.863907477
42.79,-91.10,528.998038396
42.69,-91.53,193.530828684
41.79,-90.26,848.543091891
42.04,-95.33,733.265499161
41.84,-94.11,773.681551818
40.76,-92.44,453.763572089
40.62,-93.95,939.123791562
42.47,-91.45,123.046280095
40.77,-91.12,713.691129513
40.78,-91.12,779.005830769
43.38,-95.18,330.265194002
43.42,-95.14,258.217786228
42.30,-91.00,639.851012093
42.54,-90.65,345.95862552
42.40,-90.70,652.378125618
43.40,-94.75,475.558276926
43.29,-94.51,391.371716479
42.85,-91.82,638.394991961
42.68,-91.88,184.14704044
43.05,-92.04,55.4616595356
43.06,-92.67,99.216987426
42.76,-93.20,220.768836351
40.87,-95.57,519.168927279
40.75,-95.64,897.412788604
42.03,-94.41,48.1127516015
42.22,-92.89,32.8213980198
42.36,-92.76,473.820142925
41.67,-94.50,240.107335375
42.30,-93.64,627.541765007
42.47,-93.80,104.440691996
43.10,-93.80,658.376313886
42.93,-93.79,276.940719868
42.36,-93.10,555.105974494
42.52,-93.25,331.189183311
41.83,-96.05,647.656589676
41.64,-95.79,775.715464676
40.95,-91.56,634.15059437
43.39,-92.09,905.875758452
43.24,-92.44,934.085319067
42.73,-94.20,234.629086228
42.49,-95.55,102.583619874
41.51,-92.07,973.606305517
41.64,-91.98,926.040987474
42.16,-90.71,929.306812207
42.05,-90.75,772.218359578
41.71,-93.03,408.14028787
41.02,-91.96,299.979345774
41.61,-91.50,684.562788022
41.85,-91.68,279.727868171
42.24,-91.17,346.99793483
43.07,-94.31,237.96259663
43.40,-94.38,851.270158942
40.75,-91.28,739.363820627
40.65,-91.56,643.462724958
40.62,-91.33,750.579272008
40.40,-91.38,769.905995189
42.05,-91.59,574.157788373
42.28,-91.53,629.878013726
41.02,-93.28,593.933215746
43.43,-96.17,15.9077603225
41.36,-94.01,686.810757501
41.32,-92.65,557.189862052
41.32,-93.10,735.286989856
41.38,-92.92,652.917878921
41.88,-92.78,988.827850417
42.06,-92.92,139.204146816
41.05,-95.75,95.8146575952
41.08,-95.48,665.344284546
43.28,-92.81,76.8119023371
43.38,-92.92,870.754421073
42.06,-95.84,217.455649736
42.07,-96.00,587.364121081
42.16,-95.78,764.783450119
41.07,-92.79,177.163064179
41.00,-95.24,694.185608869
41.41,-91.07,532.614849352
41.47,-91.05,594.834612572
43.09,-95.63,362.118689626
43.18,-95.66,45.941591124
43.18,-95.85,28.4844332055
43.44,-95.72,953.815043545
40.72,-95.02,49.1903187139
40.77,-95.38,119.992069664
43.10,-94.68,753.339566369
42.83,-96.56,891.522008244
42.78,-96.15,900.641746338
42.81,-95.97,956.807672864
42.73,-94.66,557.435517767
41.72,-93.57,708.504432948
41.53,-93.65,60.6993189016
41.74,-93.72,577.066315372
41.30,-95.38,770.14611749
41.39,-95.68,470.320037627
41.72,-92.75,319.071780292
41.58,-92.55,81.4874493763
40.82,-94.05,200.181719862
40.71,-94.24,720.982630826
42.42,-94.98,131.813585042
41.57,-90.40,865.09106981
43.00,-96.48,581.371050064
43.00,-96.05,26.3270780171
43.20,-96.31,17.9156459909
43.06,-96.15,336.082314045
41.95,-93.57,937.970680209
42.17,-93.31,760.627773939
42.08,-92.40,979.313731583
42.04,-92.58,168.758503988
42.19,-92.47,771.858085208
40.67,-94.72,929.032835554
40.62,-94.50,157.921592979
41.04,-94.39,700.372776411
41.12,-94.05,621.975524296
40.73,-91.97,964.528354734
41.11,-92.45,40.7509978092
41.37,-93.65,107.132140283
41.18,-91.82,70.9990595561
41.28,-91.71,677.737075234
40.70,-93.37,344.484645184
42.58,-94.20,852.823543955
43.28,-93.63,281.382671656
43.42,-93.53,164.410260736
43.18,-91.87,931.041875866
43.30,-91.80,502.227704834
42.28,-96.10,610.915768662
42.39,-96.38,253.840670368
43.44,-93.23,177.004634721
42.72,-93.73,956.007821392
43.74,-116.20,351.715946832
43.57,-116.24,908.141780189
43.57,-116.21,88.4672219549
44.97,-116.29,989.885687773
42.62,-112.01,913.761287372
42.64,-112.19,835.743920664
42.88,-112.44,555.334010624
42.34,-111.38,384.688086142
42.12,-111.31,198.902890403
47.32,-116.58,149.87615403
42.95,-112.83,888.33451631
43.20,-112.35,48.4325618617
43.68,-114.36,73.5824203599
43.31,-114.07,580.292378735
44.10,-115.97,644.074857139
48.35,-116.84,627.912225561
48.29,-116.56,637.477642951
43.51,-112.01,476.388119981
43.44,-111.28,705.895390865
48.69,-116.31,559.076731785
49.00,-116.50,43.0218064167
43.64,-113.30,369.606830669
43.47,-113.56,99.8997873043
43.53,-112.94,492.374790006
43.34,-114.79,306.427726943
42.59,-111.73,972.723847375
42.23,-113.90,841.267740816
44.30,-112.41,647.439161567
46.50,-116.32,447.31229886
46.77,-116.18,857.834139549
46.61,-115.80,317.664489406
46.49,-115.80,699.41682494
43.98,-113.83,396.448500177
44.22,-114.93,470.008171916
42.94,-115.32,134.672798554
42.09,-111.87,208.533736368
44.04,-111.27,675.380154911
44.42,-111.37,0.755452104997
43.85,-116.47,609.837683853
45.57,-115.45,115.778184038
46.09,-115.54,210.12255064
43.97,-112.26,498.952553669
44.04,-112.52,663.933810012
43.68,-111.91,986.958478144
42.73,-114.52,730.028862997
47.98,-116.56,918.943449736
47.68,-116.80,855.749812146
46.73,-116.96,993.730085552
46.96,-116.85,251.807906776
44.68,-113.36,575.335838533
44.57,-113.90,454.637497834
45.19,-113.90,720.815339429
46.23,-116.03,155.704522977
46.23,-116.24,528.862464057
43.05,-114.16,63.7387932239
42.94,-114.42,619.230729908
42.63,-113.76,539.427577646
46.37,-117.02,210.454347699
43.61,-116.92,286.946475295
42.03,-115.36,907.555717611
44.08,-116.93,612.37635896
42.80,-112.80,442.943765172
42.67,-113.00,194.966251395
42.92,-112.57,218.807506794
47.25,-115.92,663.942880942
47.01,-116.26,559.852115455
47.53,-116.12,730.195737468
47.47,-115.80,196.094655624
43.73,-111.11,532.721558788
43.86,-111.28,96.4617624599
42.60,-114.75,499.255395598
42.55,-114.87,268.431030724
44.52,-116.05,204.689510992
44.89,-116.10,469.80780759
45.10,-114.85,47.6535238918
44.96,-115.50,570.691473576
44.57,-116.68,562.574966081
39.91,-91.43,281.068964043
39.94,-91.19,347.890549622
38.87,-89.40,749.501705381
42.26,-88.86,368.080386892
39.98,-90.75,388.231773396
41.38,-89.46,418.842578103
41.55,-89.60,297.963949491
42.10,-89.98,112.088861324
39.95,-90.21,199.163995644
40.11,-87.96,161.119118331
40.01,-88.15,61.5392178554
40.31,-88.16,214.73804554
40.08,-88.24,371.71091377
39.59,-89.46,462.903179809
39.37,-89.09,56.1119556418
39.53,-89.31,414.231432809
39.30,-87.97,235.96735265
38.61,-88.31,85.0014006113
38.68,-88.48,588.902122846
38.54,-89.63,673.324052571
38.63,-89.37,285.525886252
38.55,-89.13,414.594090449
39.48,-88.17,685.97340084
39.47,-88.35,634.93107115
42.12,-88.16,649.281131937
42.14,-87.79,866.377941805
41.74,-87.78,474.970942575
41.99,-87.93,203.535836852
41.54,-87.54,482.497759341
41.71,-87.88,133.413546612
41.49,-87.68,633.609219394
39.11,-87.66,740.738614785
39.00,-87.62,960.66644372
39.01,-87.78,584.675779708
39.06,-87.66,759.702127955
39.32,-88.46,195.337414683
40.14,-88.97,4.26237496369
40.25,-88.71,22.5302209197
41.93,-88.78,910.516912755
42.07,-88.71,894.92560008
41.73,-88.87,932.848136961
39.79,-88.29,932.624253648
41.83,-88.06,517.760192482
41.81,-88.07,939.423773571
39.62,-87.67,154.313277615
39.18,-88.78,619.253141765
39.12,-88.62,628.1271087
39.11,-88.53,330.139321203
39.15,-89.10,132.807926138
40.45,-88.14,382.990294772
37.91,-89.01,628.203843503
40.71,-90.36,205.773587302
40.54,-90.02,71.5495153168
37.70,-88.13,18.4024386284
39.34,-90.21,875.824729134
39.44,-90.38,193.108552132
41.37,-88.43,215.539498649
40.23,-90.95,395.271845689
40.34,-91.11,742.26374105
40.58,-90.97,221.675870684
37.47,-88.41,333.340962577
40.88,-91.02,366.554176499
41.45,-90.15,21.7117373374
41.24,-89.90,853.200167202
40.68,-87.76,959.128266779
40.79,-87.76,716.738566318
37.73,-89.17,533.592455927
38.99,-88.18,785.706449967
38.35,-88.85,598.510901525
38.21,-89.08,559.734125315
39.11,-90.34,325.094002545
42.45,-90.05,780.244186799
42.32,-90.23,814.963954178
42.40,-90.39,135.822457989
42.40,-90.00,804.024734529
41.78,-88.31,883.448719386
41.87,-88.47,558.641885149
42.06,-88.29,896.072805099
41.18,-87.94,843.959322259
41.14,-87.89,899.168958289
41.02,-87.72,812.977771488
41.61,-88.48,243.934908228
41.12,-90.16,59.3142657191
40.94,-90.09,606.875292324
40.95,-90.39,807.832901691
40.90,-90.29,658.809017216
40.78,-90.02,704.534504584
41.55,-88.91,334.677295449
41.33,-88.75,599.751987235
41.53,-89.13,126.613810375
41.33,-88.91,248.359720253
42.26,-88.08,485.839960233
41.71,-89.34,289.121099546
41.85,-89.50,314.980177519
41.71,-89.00,33.3351262709
41.81,-89.02,709.278329885
40.75,-88.29,65.3512181742
41.11,-88.41,802.221147936
40.75,-88.50,544.230226951
40.88,-88.64,755.90500504
41.09,-88.82,631.343623044
40.15,-89.34,609.086759409
40.01,-89.28,98.2211180347
39.83,-88.95,584.344633484
39.16,-90.14,401.664702631
39.07,-89.70,472.898851676
38.87,-90.15,472.369125872
38.81,-90.00,390.142081683
38.76,-89.66,891.380844407
38.49,-88.97,258.301578583
38.76,-89.06,65.3298916642
38.65,-88.95,132.546900035
41.02,-89.42,321.979515506
41.04,-89.23,562.014312749
40.30,-90.07,565.033788647
37.13,-88.65,921.920308899
40.48,-90.67,280.516843475
40.59,-90.46,469.142094538
42.41,-88.63,348.966122853
42.31,-88.25,42.1524262774
42.47,-88.24,976.751598222
42.36,-88.53,470.421323036
40.49,-89.09,275.657825835
40.50,-89.00,877.989901071
40.74,-88.71,531.365803382
40.55,-88.95,956.600496108
39.95,-89.76,982.454143814
39.96,-89.87,814.599345893
41.20,-90.75,524.902293972
39.15,-89.48,221.389260487
39.71,-90.23,598.876216169
39.74,-90.22,929.57766839
39.71,-88.49,305.418178927
39.71,-88.63,672.452560606
